"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
739.8,7.97,26.5,983,0.4,486,3.2,45.1,190,293,4.0052,32.9964,657,3.4e+07
592.4,7.81,27.9,829,0.3,414,0.98,13,95,146,3.3016,31.6558,62,1.7e+07
101.1,7.89,22,830,0.3,3.35,4.1,54.5,140,256,4.0124,33.7239,87,3.8e+07
2767,7.52,23.6,569,0.2,284,3.63,45.1,105,165,3.2917,28.3346,381,3.4e+07
15.05,7.57,23.1,185.7,0.05,93,6.35,94.4,3,21,0.1692,1.1359,4,3200
672.9,7.8,26,951,0.4,476,3.41,48.78,220,275,4.5163,37.4766,850,6e+07
656.9,7.67,26.8,893,0.4,445,1.63,23.32,150,267,4.7466,25.9017,294,2.3e+07
57.26,7.66,17.6,558,0.2,279,4.89,67,35,144,3.0149,19.5987,14,3e+06
265.3,6.97,21.9,472,0.1,236,0.48,5.8,360,2747,17.2089,155.4788,21300,2.9e+07
117.2,7.84,22.9,834,0.3,419,1.03,12.8,260,377,4.6904,33.5911,125,6.3e+07
3440,7.73,25.8,763,0.3,382,5.19,74.2,70,146,1.9871,20.3163,260,3.1e+07
13.34,7.6,26.1,180.8,0.05,90,6.18,87.1,3,30,0.1514,1.5815,3,4500
21.81,8.06,22,181.1,0.05,91,8.71,114.5,3,10,0.1322,1.1955,8,710
1711,7.4,21,666,0.3,333,5.1,57,34,78,1.0112,17.6252,101,5900000
1046,7.45,29.1,857,0.4,429,0.8,9.7,130,248,2.4118,33.3228,400,2e+07
1324,7.78,22,586,0.2,295,5.3,60,28,65,1.2179,19.3154,73,3600000
560.74,7.74,27.9,821,0.3,403,0.8,8.4,95,202,3.1695,34.9913,219,1e+07
25.76,7.88,33.2,748,0.3,374,4,55,220,498,3.1464,39.6807,1815,2.2e+07
2911,7.7,23.4,398,0.1,199,6.13,70.79557118,42,79,1.2143,13.3891,434,1600000
